Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_Provided,min_salary,max_salary,avg_salary,company_txt,job_state,some_state,age,python_yn,R_yn,Spark
$115K-$133K (Glassdoor est.),"Auto req ID: 207072BR
Job Description


Bring your passion and talent in Data Science to our stage and continue to share our future and deliver innovative products to delight our consumers.

PepsiCo Global R&D’s Data Science and Analytics team focuses on the autonomous or semi-autonomous examination of data and content to discover deep insights, make predictions, and/or provide recommendations. We use various techniques and tools that are beyond traditional business intelligence ones. Our major techniques and expertise include, ML/AI for predictive modeling and cognitive computing (vision, speech, language analytics, etc.), and robotic process automation (RPA). We support research and development of PepsiCo’s diverse portfolio of beverages and foods to make a business impact on market success.

Rewarding opportunity for personal and professional growth. You will have a unique opportunity to propel the use of Data Science in an R&D setting to build and sustain our innovation pipeline.
As a data scientist, you will proactively obtain data/information from various sources and analyze them to provide a better understanding of R&D Innovation performance. You will build AI/ML tools that automate certain processes within Global R&D. Your duties typically include creating various AI/ML-based tools or processes within Global R&D, such as recommendation engines or predictive models. Ability to perform statistical analyses is also within scope of the role.

Critical Competencies:
Execute operating plan projects through statistical methods and advanced data modeling techniques that provide business impact and value
Partner with R&D Categories to identify new advanced analytic tools as needed
Select features, build and optimize classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant to building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Communicate and presenting results in a clear manner
Qualifications/Requirements
Execute operating plan projects through statistical methods and advanced data modeling techniques that provide business impacts and value
Partner with R&D Categories to identify new advanced analytic tools as needed
Select features, build and optimize classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant to building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Communicate and presenting results in a clear manner
Knowledge & Experience:

Minimum Master’s degree in Statistics, Mathematics, Computer Science or other quantitative Science/Engineering field.
Strong problem-solving skills with an emphasis on R&D innovation applications.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of advanced statistical techniques and concepts (regression, distributions, statistical tests and proper usage, etc.) and experience with their applications.
Knowledge of a variety of machine learning techniques (clustering, decision trees, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Relocation Eligible: Not Eligible for Relocation
Job Type: Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",3.7,"PepsiCo
3.7","Purchase, NY","Purchase, NY",10000+ employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"Unilever, Mondelēz International, Amazon",0,0,115,133,124.0,"PepsiCo
", NY,1,55,1,0,0
$216K-$234K (Glassdoor est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.0,"ManTech
4.0","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,216,234,225.0,"ManTech
", VA,0,52,0,0,0
$56K-$75K (Glassdoor est.),"Xtend Healthcare, established in 2009, is seeking professionals to fulfill a specific need at one of our key clients of EY (Ernst & Young) within its Indianapolis healthcare advisory practice. These full-time positions offer a competitive salary and an attractive benefits package. The positions are long-term with no scheduled end date. Many current Xtend Healthcare employees have been contracted in similar roles at EY for multiple years -- some well over a decade.

EY is a globally recognized professional services firm and its Indianapolis healthcare advisory practice serves a variety of healthcare clients nationally. EY is looking to expand its existing team of Xtend Healthcare data analysts. Xtend Healthcare employees who act in these contracted roles have data analytics, informatics or business backgrounds. Some individuals do occasionally travel for work, but travel is not required by all. Candidates are expected to work daily in EY's downtown Indianapolis, Indiana office location.

EY offers our team members a highly inclusive, flexible work environment. Benefits also include the opportunity to develop and build upon deep technical skills, healthcare industry knowledge, and consulting skills through on-the-job training. The services provided include assisting their clients in complying with Medicare, Medicaid and other regulatory requirements, in addition to helping them receive the appropriate amount of reimbursement from these programs.

We are seeking qualified candidates for ourHealthcare Data Analystposition. This position will work with our client's proprietary tools to analyze large volumes of hospital data. The candidates must employ various technical data manipulation techniques to analyze large complex data sets, identify data patterns, data mine, etc. Through training, candidates must learn and apply relevant regulations to compile data sets. Candidates must be able to communicate results of the analysis to project managers.

JOB SUMMARY:

1. Analyze large volumes of hospital data.

2. Employ various techniques to analyze large complex data sets:
Data manipulation
Data mining
Identifying data patterns
3. Learn and apply relevant regulations to compile data sets.

4. Communicate results of analysis succinctly to project managers.

MINIMUM REQUIREMENTS:
Bachelor's Degree in Business, Informatics, Data Analytics, Finance, Accounting, or a related field.
2+ years experience in Business, Informatics, Data Analytics, Finance, Accounting, or a related field.
Intermediate level proficiency with Microsoft Excel required, with Microsoft Access, SQL or other database software experience recommended.
Successful reference check, background check and drug screening (required).
PREFERRED QUALIFICATIONS:
Experience with Medicare or Medicaid reimbursement, including cost reports, Medicare DSH and/or Medicare bad debts, is a significant advantage.
Intermediate level proficiency with Microsoft Excel (required) with Microsoft Access, SQL or other database software experience (recommended).
Acute attention to detail and strong analytical skills (required).
Strong written and verbal communication skills.
Ability to employ critical thinking skills and work independently while also working well within a team environment.
Receptiveness to differing views and ideas with the ability to apply industry-specific concepts.
Highly adaptable to changing circumstances and/or directives in day-to-day priorities.
Ability to perform well on frequent repetitive tasks while continually improving skills and competencies.
Willingness to travel occasionally (plus).
All offers of employment are contingent on standard background checks. Navient and certain of its affiliated companies are federal, state and/or local government contractors. Should this position support a Federal Government contract, now or in the future, the successful candidate will be subject to a background check conducted by the U.S. Government to determine eligibility and suitability for federal contract employment for public trust or sensitive positions. Positions that support state and/or local contracts also may require additional background checks to determine eligibility and suitability.

EOE Race/Ethnicity/Sex/Disability/Protected Vet/Sexual Orientation/Gender Identity. Navient Corporation and its subsidiaries are not sponsored by or agencies of the United States of America.

Navient is a drug free workplace.",3.4,"Navient
3.4","Indianapolis, IN","Wilmington, DE",5001 to 10000 employees,2014,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,0,0,56,75,65.5,"Navient
", IN,0,6,0,0,0
$16K-$53K (Glassdoor est.),"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Overview:

The KION Group is a global leader in industrial trucks, related services, and supply chain solutions. Across more than 100 countries worldwide, the KION Group deisgns, builds, and supports logistics solutions that optimize material and information flow. KION is the second largest producer of forktrucks globally and the leading provider of warehouse automation.

KION’s Mobile Automation team is focused on developing robust and innovative autonomous vehicle solutions. Typical uses are for industrial or warehouse settings. AGV technology at KION is based on 35 years of real world application with over 8,000 AGVs being provided to customers so far.

About the Position:

We are seeking a highly talented Machine Learning Engineer to join our team. Your day-to-day activities will vary, but will be in the following areas:
Mapping and Localization: Development of advanced techniques for mapping, localization, and pose estimation of mobile robotic systems based on a variety of different sensors (camera, LIDAR, IMU, etc.).
Machine Learning: Developing and applying ML algorithms to the task of building / learning feature-extractors to enhance a vehicle’s spatial perception capabilities and robustness.
Software Development: Assisting in the design and implementation of developer and end-user tools that leverage ML.
What We Are Looking For


Experience/Skill Preferred:
Excellent communication skills
Strong background in machine vision and machine learning methods
Ability to implement new algorithms efficiently and rigorously
Strong quantitative ability
High level of experience with Python and C++ (Rust, Haskell, and/or Scala would also be great!)
Experience working with embedded systems with real-time constraints
Experience with software engineering tools (e.g. git, cmake, gdb, etc.)
Experience developing sotware a part of a team


Travel:
Travel – Up To 5% (including International)",3.8,"Dematic
3.8","Holland, MI","Atlanta, GA",5001 to 10000 employees,1819,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,"Intelligrated, Daifuku, Viastore Systems",0,0,16,53,34.5,"Dematic
", MI,0,201,1,0,0
$130K-$170K (Glassdoor est.),"We are looking for a great data scientist for our Quickbooks Online (QBO) business. Quickbooks is used by over 5MM SMBs globally to run their businesses and we are the team responsible for using our data to answer the most critical questions facing the QBO Product Managers and Marketers. Everything from understanding the trends in our subscriber growth to shaping our product strategy through A/B testing and more happens within our team and we need top data scientists to help the business deliver the best possible product to our SMB customers. We are growing rapidly and need great people to support our analytical efforts in both Product and Marketing.

What does it take to thrive on our team? You need to be a top-notch problem solver and problem identifier. Its also a good idea to know the standard suite of analytical tools - SQL, R/Python, some sort of data visualization tool but were more interested in your ability to quickly learn new tools as the set of tools available is constantly evolving. Last, knowing that in most cases done is better than perfect is important - getting the current problem right to the sixth decimal place is almost always less impactful than getting to the next problem.

If this role sounds interesting go check out the product (https://quickbooks.intuit.com/) and if you find this exciting, then we look forward to hearing from you!",4.4,"Intuit - Data
4.4","Mountain View, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",0,0,130,170,150.0,"Intuit - Data
", CA,1,37,1,0,0
$44K-$58K (Glassdoor est.),"Position Summary


The D&I Data Analyst will be responsible for the development of various management, Board of Directors (Board) and Federal Housing Finance Agency (FHFA) reports, including in-depth data analytics, quality reviews and control development, to support the development and execution of strategic objectives. The role will report to the Senior Director of the Office of Diversity and Inclusion and support the operational functions of the Office, including the Bank’s Diversity and Inclusion Leadership Committee, and supporting councils and employee resource groups.

Primary Success Factors


The D&I Data Analyst will demonstrate the ability to:
Assist in the preparation and submission of timely and accurate quarterly and annual reports to FHFA while collaborating with departments to gather and analyze information.
Review and provide recommendations regarding proper controls and procedures to ensure the integrity of the reports; identify opportunities for continuous system and process improvements and lead the development of supporting processes.
Perform in-depth data analytics, including quantitative, statistical and comparative analysis, to determine patterns and recognize trends; prepare a variety of reports and presentations for management, the Board and FHFA.
Translate data into written reports, tables, graphs and charts (including developing creative data visualizations to illustrate key findings); interpret data results to provide written commentary that articulates pertinent findings.
Support the development and refinement of performance metrics to evaluate the effectiveness of activities supporting the Bank’s Diversity and Inclusion Strategic Plan; perform ad-hoc analysis to enhance understanding of identified metrics.
Conduct research to provide insight on Bank’s performance trends and identified target ranges using publicly available industry and FHLBank system data; serve as a liaison to FHFA, the FHLBank System and other external data analysts specializing in diversity and inclusion.
Support operational functions of the Office including, but not limited to, Committee administrative support, coordination of communication materials, organization of exam-related document requests, D&I training, pulse surveys or focus groups, and annual review of policies and procedures.
Required Experience
Bachelor’s degree in business, economics, statistics or related field
Three years of related experience with strategic initiative project management, process and performance improvement, data analytics and reporting metrics
Experience in diversity and inclusion in the financial services industry is a plus
Highly proficient with Microsoft Office products; experience with Tableau or other data visualization tools
Proven track record with strong written and oral communication, analytical skills, data visualization and project management skills; high level of attention to detail and accuracy; ability to routinely manage large data sets
Strong interpersonal skills, self-motivated, and a demonstrated ability to multi-task and work independently while collaborating effectively at all levels of the Bank
It is the policy of the Federal Home Loan Bank of Pittsburgh to ensure equal employment opportunity (EEO) for all employees and applicants for employment without regard to race, religion, color, sex, national origin, age, disability status, genetic information, veteran's status, ancestry, sexual orientation or status as a parent as defined by applicable law. It is the Bank's policy to comply with applicable laws concerning the employment of persons with disabilities, including reasonable accommodation for applicants and employees with disabilities.",3.7,"FHLBank Pittsburgh
3.7","Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1,0,0,44,58,51.0,"FHLBank Pittsburgh
", PA,1,88,0,0,0
$84K-$109K (Glassdoor est.),"About GoDaddy

GoDaddy powers the world's largest cloud platform dedicated to small, independent ventures. With 20 million customers worldwide, GoDaddy is the place people come to name their idea, build a professional website, attract customers and manage their work. Our mission is to empower entrepreneurs everywhere, making opportunity more inclusive for all. To learn more about the company visit www.GoDaddy.com.

We’ve adapted our hiring process in response to COVID-19. To learn more about what GoDaddy is doing differently click here.

We are looking for a Senior Business Analyst who has a passion for data and supplying their customers with insights as well as guiding their team to success. You know and love working with analytic tools, can write excellent SQL and scripts, are very effective and efficient at creating visual dashboards in Tableau and can use your technical skills and creative approaches to solve some unique problems in the Business Intelligence space. You’ll work closely with the product and website teams throughout product life-cycles, driving strategy and action through high-quality and timely data analysis. You are an advocate for your customers and you have a sense of ownership.
Responsibilities:
Use data to tell a story. Make insights and recommendations to help acquire new customers, reduce customer attrition, and grow our revenue.
Analyze, visualize, and provide analytics on significant amounts of data and build end-to-end reporting solutions to support company initiatives.
Have experience using data mining techniques to drive product strategy, reduce customer attrition and find new revenue opportunities.
Build dynamic and rich dashboards using out-of-box features, customizations, and visualizations.
Perform large-scale data analysis and develop effective models for segmentation, classification, optimization, time series, website behavior, etc.
Work with a team of analysts in the collection and dissemination of company performance via multiple reporting tools/methodologies.
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating findings to cross functional groups.
Explore and recommend emerging technologies and techniques to support/enhance BI landscape components.
Write and create custom reports.
Requirements:

BS/BA in Computer Science or Mathematics.
6+ years of experience with SQL (SQL, HiveQL) including optimization
5+ years of experience working with either a Hadoop and/or an MPP system.
5+ years of experience with business intelligence tools (Tableau preferred)
2+ years of experience with open source Data Science tools (Python, R, PySpark preferred)
Familiarity with ETL implementation and maintenance and a working understanding of schema design and dimensional data modeling.
Ability to analyze data to identify deliverables, gaps and inconsistencies.
Demonstrated understanding of analytical techniques including regression, trend analysis, forecasting, and experiment design
Experience with web analytics tools (Google Analytics, SiteCatalyst, etc.)
Advanced user of Microsoft Office tools such as Excel, Powerpoint
Excellent communication skills including the ability to identify and communicate data driven insights.
Recommended:

MBA or other advanced degree in analytical field from a top-tier institution
Experience with relational databases, big-data infrastructure (i.e. Hadoop), and data analysis tools (i.e. SQL & Tableau)
GoDaddy is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, creed, religion, sex, sexual orientation, gender, gender identity or expression, medical condition, national origin, ancestry, citizenship, marital status or civil partnership/union status, physical or mental disability, pregnancy, childbirth, genetic information, military and veteran status, or any other basis prohibited by applicable federal, state or local law. GoDaddy will consider for employment qualified applicants with criminal histories in a manner consistent with local and federal requirements.

If you need assistance completing an application for a position with us, please reach out to our Recruiting Team at myrecruiter@godaddy.com

Please note that GODADDY does not accept unsolicited resumes from recruiters or employment agencies.

To submit your application to this position, please click Apply . On the next screen, after you click Apply, click Create to establish your candidate account. If you have previously created a candidate account, please slick Sign-In and use that account to complete your application.

Apply Now",3.7,"GoDaddy
3.7","Austin, TX","Scottsdale, AZ",5001 to 10000 employees,1997,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Network Solutions, Weebly, Endurance International Group",0,0,84,109,96.5,"GoDaddy
", TX,0,23,1,0,1
$55K-$69K (Glassdoor est.),"Riskonnect, Inc. is the leading integrated risk management software solution provider that empowers organizations to anticipate, manage and respond in real-time to strategic and operational risks across the extended enterprise. Riskonnect is the only provider ranked in the leadership and visionary quadrants by world renowned industry analysts Gartner and Forrester. We employ more than 500 risk professionals in the Americas, EMEA and Asia Pacific and serve over 900 customers across 6 continents. The combination of innovative risk technology, a customer success mindset, and employee-first belief makes Riskonnect a sought after place to work.

Primary Role Responsibilities:
Support, maintain, and streamline data interfaces.
Troubleshoot data interface issues. Analyze data (claims data, client databases) to find issues and anomalies and provide quality assurance.
Enable automation; add efficiencies to coding. Clean up data/codes.
Act as first level client contact for data-related issues.
Assist clients; interface with internal colleagues (e.g., Support) to resolve client issues.
Coordinate with colleagues globally to ensure seamless support.
Required Qualifications:
Minimum 1 year of experience working in a SQL Server Management Studio environment
Working knowledge of query-writing, stored procedures, and views
Strong analytical skills and ability for problem-solving
Detail-oriented, organized, and self-motivated
Within Role Promotion ConsiderationsHiring of/promotion to Data Analyst, Senior Data Analyst, or Lead Data Analyst is based on a combination of:
Years of experience
Ability to meet or exceed key performance metrics
Superior display of relevant competencies
Knowledge of platform / technical expertise
Complexity of projects handled; ability to solve complex/escalated problems
Successful execution of project responsibilities from start to finish
Scope of work performed
Ability to lead/mentor less experienced analysts on larger projects
Key Performance Indicators
On-time delivery of data
Integrity of data
Turnaround of cases/issues
Successful automation
Timely communication
Number of accounts processed
Client satisfaction
Client relationship
Solid documentation
HelpfulQualifications:
ARMScertification
Microsoft SQLcertification(s)
Database tools (e.g., Oracle)
Experience with Salesforce
Experience with Financial data sets, involving financial validation.",3.6,"Riskonnect
3.6","Chicago, IL","Kennesaw, GA",201 to 500 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,55,69,62.0,"Riskonnect
", IL,0,13,0,0,0
$122K-$162K (Glassdoor est.),"Decode_M

https://www.decode-m.com/

Data Science Manager : Job Description

We’re hiring a Data Science Manager in our New York office to lead Decode_M’s Data Science team in developing new solutions for our clients and advancing the science of momentum through our proprietary product.

This position, based in New York City, requires an interest in managing Decode_M’s data science team, workflow and offerings. It demands excellent organizational skills, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in analytics, research and strategy.

About You
You have an advanced degree in data science, mathematics, or another highly quantitative field, and are comfortable understanding and utilizing recent academic research in your work.
You have 3+ years of relevant work experience using applied statistics and/or machine learning. Bonus points if you’ve worked in a consulting, or other client-facing role before
You have 1+ years of management experience.
You are fluent in Python and R, as well as a robust numerical computing and data science stack in each language. Not only do you produce readable and well-documented code, but elevate your team’s work through thoughtful code review and mentorship
You are highly consultative, engaged, and detail-oriented. You see beyond the question you are asked to understand client objectives, and chart a course for long-term success in our relationships
You are an autodidact, who loves to figure out new solutions to problems by diving deep into StackOverflow, Arxiv.org, or your preferred destination.
You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut alone


What You'll Do

Lead a team. Help to set the vision for the Data Science team and follow through on that vision. Be a mentor to a small, close-knit team of data scientists, helping them to develop professionally

Drive New Product Development: Decode_M has developed a proprietary algorithm to quantify the cultural momentum of brands, entities, people and movements. You will steward the development of the algorithm and be part of the product team to bring it to market with new customers

Manage Process. Work across teams and with Decode_M’s leadership to ensure that our work is top notch, deadlines are met, and projects are resourced appropriately. Foster an environment where the team is empowered to do its best work

Build Tools. Use data from social media, online reviews, mainstream media sites, search, web traffic, quantitative research, CRMs or other databases, etc. to uncover intelligence around growth opportunities and business challenges. Build software and/or repeatable processes to scale this work

Grow our Capabilities. Advance our expertise in applying statistics and machine learning to digital trends, CRM data, and quantitative research. Know the state of the field well enough to know when to reach for best-in-class tools and when to design your own solutions",-1.0,Decode_M,"New York, NY","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,0,0,122,162,142.0,Decode_M, NY,1,-1,1,0,0
$76K-$111K (Glassdoor est.),"Requisition Number:
3955

Job Title:
FCC Data Scientist

Location City:
Miami Lakes

Location State:
Florida

Job Description:
Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.

ESSENTIAL DUTIES AND RESPONSIBILITIES: While other duties and special projects may be assigned, the primary duties and responsibilities include the following:
Conduct assessments of models and provide reports detailing the current state of data feeds, rule output at current settings, and alert outputs at alternative settings.
Utilize Oracle SQL to the extent of simulating model output.
Identify potential logic deficiencies in model outputs through cross validation of external analyses
Assist with the identification, evaluation, and development of controls to mitigate FCC risk and operational impacts.
Research, develop, prototype and test new models and their related inputs.
Assist with annual FCC model tuning and optimization efforts in line with regulatory expectations to meet false-positive and detection rate criteria; performs quantitative analysis on the alert output of each tuning cycle (able to prepare reports detailing forecast results).
Perform model management reviews for the ongoing assessment of model suitability against emerging risk.
Assist with data integrity and validation testing on FCC projects including software implementations, operational enhancements related to efficiency gains, and other special projects as needed including the coordination of software updates in collaboration with the Bank's IT Department and or Project Management Office.
Support manager with resolving of open issues and/or defects involving applications used by the FCC Department including the identification of issues, tracking, escalation, testing, and resolution.
Maintain business definitions in the form of a data dictionary for all department managed models.
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners.
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Create documentation and provide technical training to business users as needed (this includes training post model tuning deployments and on new enhancements).
If necessary, effectively communicate with the business lines in order to obtain the necessary information and documentation to complete model improvements.
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes exercising discretion in setting priorities.
Communicate effectively to different audiences, including both business and technical parties.
Possess a general understanding of banking with respect to BSA/AML and Fraud risks.
Perform any other assignments as directed by manager.

EDUCATION and/or EXPERIENCE
Bachelor's degree in Computer Science, Management Information Systems or related field.
At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution.
Advanced experience with data mining/analytical tools such as R and Python
Strong knowledge of Structured Query Language (SQL), Oracle programming language, data mining techniques, and Business Intelligence Tools
Strong database skills, including working with advanced data sets, pivot tables, advanced database and statistical functions and methods
Experience visualizing data using tools such as Tableau
Experience with developing and implementing Fraud and BSA/AML risk strategies in decision engines, detection tools and onboarding platforms.",2.6,"BankUnited
2.6","Miami Lakes, FL","Miami Lakes, FL",1001 to 5000 employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),"SunTrust, BBX Capital, Wells Fargo",0,0,76,111,93.5,"BankUnited
", FL,1,11,1,0,0
